2024-11-19 19:22:39.889 GMT,,,1,,673ce57e.1,1,,2024-11-19 19:22:38 GMT,,0,LOG,00000,"starting PostgreSQL 17.1 (Debian 17.1-1.pgdg120+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 12.2.0-14) 12.2.0, 64-bit",,,,,,,,"PostmasterMain, postmaster.c:1080","","postmaster",,0
2024-11-19 19:22:39.964 GMT,,,1,,673ce57e.1,2,,2024-11-19 19:22:38 GMT,,0,LOG,00000,"listening on IPv4 address ""0.0.0.0"", port 5432",,,,,,,,"ListenServerPort, pqcomm.c:661","","postmaster",,0
2024-11-19 19:22:39.964 GMT,,,1,,673ce57e.1,3,,2024-11-19 19:22:38 GMT,,0,LOG,00000,"listening on IPv6 address ""::"", port 5432",,,,,,,,"ListenServerPort, pqcomm.c:661","","postmaster",,0
2024-11-19 19:22:40.980 GMT,,,1,,673ce57e.1,4,,2024-11-19 19:22:38 GMT,,0,LOG,00000,"listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432""",,,,,,,,"ListenServerPort, pqcomm.c:657","","postmaster",,0
2024-11-19 19:22:41.777 GMT,,,30,,673ce581.1e,1,,2024-11-19 19:22:41 GMT,,0,LOG,00000,"database system was shut down at 2024-11-19 19:21:51 GMT",,,,,,,,"StartupXLOG, xlog.c:5445","","startup",,0
2024-11-19 19:22:41.942 GMT,,,1,,673ce57e.1,5,,2024-11-19 19:22:38 GMT,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,"process_pm_child_exit, postmaster.c:2483","","postmaster",,0
2024-11-19 19:27:41.823 GMT,,,28,,673ce581.1c,1,,2024-11-19 19:22:41 GMT,,0,LOG,00000,"checkpoint starting: time",,,,,,,,"LogCheckpointStart, xlog.c:6661","","checkpointer",,0
2024-11-19 19:27:42.240 GMT,,,28,,673ce581.1c,2,,2024-11-19 19:22:41 GMT,,0,LOG,00000,"checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.102 s, sync=0.084 s, total=0.418 s; sync files=2, longest=0.056 s, average=0.042 s; distance=0 kB, estimate=0 kB; lsn=0/19150D8, redo lsn=0/1915080",,,,,,,,"LogCheckpointEnd, xlog.c:6750","","checkpointer",,0
2024-11-19 20:06:50.361 GMT,,,1,,673ce57e.1,6,,2024-11-19 19:22:38 GMT,,0,LOG,00000,"received fast shutdown request",,,,,,,,"process_pm_shutdown_request, postmaster.c:2273","","postmaster",,0
2024-11-19 20:06:50.667 GMT,,,1,,673ce57e.1,7,,2024-11-19 19:22:38 GMT,,0,LOG,00000,"aborting any active transactions",,,,,,,,"process_pm_shutdown_request, postmaster.c:2291","","postmaster",,0
2024-11-19 20:06:50.741 GMT,,,1,,673ce57e.1,8,,2024-11-19 19:22:38 GMT,,0,LOG,00000,"background worker ""logical replication launcher"" (PID 33) exited with exit code 1",,,,,,,,"LogChildExit, postmaster.c:3076","","postmaster",,0
2024-11-19 20:06:50.758 GMT,,,28,,673ce581.1c,3,,2024-11-19 19:22:41 GMT,,0,LOG,00000,"shutting down",,,,,,,,"ShutdownXLOG, xlog.c:6611","","checkpointer",,0
2024-11-19 20:06:50.947 GMT,,,28,,673ce581.1c,4,,2024-11-19 19:22:41 GMT,,0,LOG,00000,"checkpoint starting: shutdown immediate",,,,,,,,"LogCheckpointStart, xlog.c:6661","","checkpointer",,0
2024-11-19 20:06:51.282 GMT,,,28,,673ce581.1c,5,,2024-11-19 19:22:41 GMT,,0,LOG,00000,"checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.037 s, sync=0.001 s, total=0.524 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1915188, redo lsn=0/1915188",,,,,,,,"LogCheckpointEnd, xlog.c:6750","","checkpointer",,0
2024-11-19 20:06:51.349 GMT,,,1,,673ce57e.1,9,,2024-11-19 19:22:38 GMT,,0,LOG,00000,"database system is shut down",,,,,,,,"UnlinkLockFiles, miscinit.c:1171","","postmaster",,0
